"SKU_","Description","Price_EX","AvailableStock","Category_Code","Category_Description","Group","Brand"
"MCSD128GB","CLASS 10 128GB MICRO SD",256.4700,0.00,"FS","FLASH DRIVES AND SD CARDS","SD128G","DM"
"MCSD32GB","DM 32GB MICRO SD CARD",90.0000,0.00,"FS","FLASH DRIVES AND SD CARDS","SD32GB","DM"
"MCSD512GB","DM MICRO SD CLASS 10 512GB",862.2900,0.00,"FS","FLASH DRIVES AND SD CARDS","SD512G","DM"
"MCSD64GB","DM MICRO SD CLASS 10 64GB",100.0700,0.00,"FS","FLASH DRIVES AND SD CARDS","SD64GB","DM"
"MCW-L3B2-KN5B50","COOLER MASTER MASTERBOX LITE 3 SI MICRO",1570.0000,0.00,"CS","CASES","","COOLERMASTER"
"MCW-L3B2-KN5N","CM MASTERBOX LITE 3 MICRO ATX CASE BLK",828.5700,0.00,"CS","CASES","CM","COOLERMASTER"
"MDP100","OKION DIGITAL PEN, PENVISION NOTE TAKIN",2072.7300,0.00,"AC","ACCESSORIES","",""
"MDP2DVI","MINI DISPLAY PORT M TO DVI I F",772.7300,0.00,"CAB","CABLES","M-DISP","MLINK"
"MDZ-22-AB","XIAOMI MI BOX S 4K ANDROID MEDIA PLAYER",1306.6900,0.00,"HDD","HARD DRIVES","MEDBOX","XIAOMI"
"ME-1000-VU","MECER 1000VA LINE INTERACTIVE UPS",1300.0000,0.00,"UPS","UNITERRUPTED POWER SUPPLIES","1000VA","MECER"
"ME-2000-VU","MECER 2000V LINE INTERACTIVE UPS",1987.5000,0.00,"UPS","UNITERRUPTED POWER SUPPLIES","2000VA","MECER"
"ME-2000-WPTU+","MECER WINNER PRO 2000VA ON-LINE TOWER UP",5562.5000,0.00,"UPS","UNITERRUPTED POWER SUPPLIES","","MECER"
"ME-650-VU","MECER 650VA LINE INTERACTIVE UPS",737.5000,0.00,"UPS","UNITERRUPTED POWER SUPPLIES","650VA","MECER"
"ME-850-VU","MECER 850VA LINE INTERACTIVE UPS",851.8800,0.00,"UPS","UNITERRUPTED POWER SUPPLIES","850VA","MECER"
"ME-STY209","ACTIVE STYLUS PEN (SUPPORT YA13Q20/YA13Q",2000.0000,0.00,"AC","ACCESSORIES","",""
"ME20","MERCUSYS AC750 WI-FI RANGE EXTENDER",391.2800,0.00,"NC","NETWORK DEVICES","EXTEND","MERCUSYS"
"ME6-00003","MICROSOFT WIN 11 HOME OEM",812.5000,0.00,"SW","SOFTWARE","","OEM"
"ME70X","MERCUSYS AX1800 WIFI RANGE EXTENDER",1071.4300,0.00,"NC","NETWORK DEVICES","","MERCUSYS"
"MED170","MDA BRANDED CD-R, 32PCS IN JEANS CD-BAG",177.2700,0.00,"AC","ACCESSORIES","",""
"MEGA1","BLACKVIEW 11.5`,12+256GB,LTE,ANDROID 13",5437.5000,0.00,"ONB","NOTEBOOKS & TABLETS","",""
"MEM16GBDDR42666","MEMORY 16GB DDR4 2666 DESKTOP",1741.8200,0.00,"MEM","MEMORY","DDR4D","CRUCIAL"
"MEM16GBNBDDR42666","MEMORY 16GB DDR4 2666 NOTEBOOK",1725.2400,0.00,"MEM","MEMORY","DDR4N","CRUCIAL"
"MEM4GBDDR31600","MEMORY 4GB DDR3 1600 DESKTOP",527.2700,0.00,"MEM","MEMORY","DDR3D","MLINK"
"MEM4GBDDR42666","MEMORY 4GB DDR4 2666 DESKTOP",574.6400,0.00,"MEM","MEMORY","DDR4D","CRUCIAL"
"MEM4GBNBDDR31600","MEMORY 4GB DDR3 1600 NOTEBOOK",489.0900,0.00,"MEM","MEMORY","DDR3N","MLINK"
"MEM4GBNBDDR42666","MEMORY 4GB DDR4 2666 NOTEBOOK",546.0400,0.00,"MEM","MEMORY","DDR4N","CRUCIAL"
"MEM724","8GB SAMSUNG DIMM DDR4 PC-2400MHZ",1858.4100,0.00,"MEM","MEMORY","DDR4D","SAMSUNG"
"MEM8GBDDR31600","MEMORY 8GB DDR3 1600 DESKTOP",760.0000,0.00,"MEM","MEMORY","DDR3D","CRUCIAL"
"MEM8GBDDR42666","MEMORY 8GB DDR4 2666 DESKTOP",900.0000,0.00,"MEM","MEMORY","DDR4D","CRUCIAL"
"MEM8GBNBDDR31600","MEMORY 8GB DDR3 1600 NOTEBOOK",716.3600,0.00,"MEM","MEMORY","DDR3N","CRUCIAL"
"MEM8GBNBDDR42666","MEMORY 8GB DDR4 2666 NOTEBOOK",911.5300,0.00,"MEM","MEMORY","DDR4N","CRUCIAL"
"MEQ-037","WIRELESS BLACK MOUSE",71.4300,0.00,"MS","MOUSE","WIRED","MICROWORLD"
"MER-AC12","MERCUSYS AC1200 DUAL BAND WIRELESS ROUTE",373.1200,0.00,"MOD","MODEMS/ROUTERS","","MERCUSYS"
"MER-AC12G","MERCUSYS AC1200 DUAL BAND WIRELESS ROUTE",492.8600,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MER-HALO-H302","MERCUSYS AC1200 WHOLE HOME MES",1000.0000,0.00,"MOD","MODEMS/ROUTERS","","MERCUSYS"
"MER-HALO-H50G-2PK","MERCUSYS AC1900 WHOLE MESH 2PACK",1582.7900,0.00,"MOD","MODEMS/ROUTERS","",""
"MER-HALO-H70X2","MERCUSYS AX1800 WHOLE HOME MES",2000.0000,0.00,"MOD","MODEMS/ROUTERS","","MERCUSYS"
"MER-HALOH30G-3","MERCUSYS HALO H30G 3 PACK AC1300 WHOLE H",2298.4900,0.00,"MOD","MODEMS/ROUTERS","MESH","MERCUSYS"
"MER-HALOH50G-3","MERCUSYS HALO H50G 3 PACK AC1900 WHOLE H",2308.6500,0.00,"MOD","MODEMS/ROUTERS","MESH","MERCUSYS"
"MER-ME10","MERCUSYS ME10 300MBPS WIFI RANGE EXTENDE",241.2700,0.00,"NC","NETWORK DEVICES","EXTEND","MERCUSYS"
"MER-ME20","MERCUSYS ME20 AC750 WIFI RANGE EXTENDER",392.0600,0.00,"NC","NETWORK DEVICES","",""
"MER-ME30","MERCUSYS AC1200 DUAL BAND WIFI 6 RANGE E",352.1700,0.00,"MOD","MODEMS/ROUTERS","","MERCUSYS"
"MER-ME70X","MERCUSYS AX1800 WIFI RANGE EXT",949.2600,0.00,"NC","NETWORK DEVICES","","MERCUSYS"
"MER-MP500KIT","MERCUSYS AV1000 1000BPS GIGABIT POWERLIN",710.6200,0.00,"NC","NETWORK DEVICES","ROUTER","MERCUSYS"
"MER-MP510 KIT","MERCUSYS AV1000 GIGABIT POWERL",949.2600,0.00,"NC","NETWORK DEVICES","","MERCUSYS"
"MER-MR20","MERCUSYS MR20 AC750 WIRELES",306.0600,0.00,"MOD","MODEMS/ROUTERS","",""
"MER-MR30G","MERCUSYS MR30G AC1200 WIRELESS",650.0000,0.00,"MOD","MODEMS/ROUTERS","",""
"MER-MR50G","MERCUSYS AC1900 2-PORT WIRELESS DUAL BAN",723.8100,0.00,"MOD","MODEMS/ROUTERS","","MERCUSYS"
"MER-MR70X","MERCUSYS AX1800 DUAL BAND WIFI 6 ROUTER",966.3000,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MER-MR80X","MERCUSYS MR80X AX3000 DUAL BAND",1197.1300,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MER-MS105","MERCUSYS MS105 - 5 PORT 10/100",112.3900,0.00,"NC","NETWORK DEVICES","",""
"MER-MS105G","MERCUSYS MS105G - 5-PORT GIGABIT",152.5300,0.00,"NC","NETWORK DEVICES","",""
